Enable,Part,Label,Frame,Index,AnimationLayer,DriverAttribute,DriverType,DriverMax,Color,TranslateMultiply,RotateMultiply,ScaleMultiply
1,Eyebrow_L,Base,0,0,,,float,2,,_1_1_1,_1_1_1,_1_1_1
1,Eyebrow_L,WaraiA,30,1,,WaraiA,float,2,_1.0_0.7_0.5,,,
1,Eyebrow_L,WaraiB,32,2,,WaraiB,float,2,_1.0_0.7_0.5,,,
1,Eyebrow_L,WaraiC,34,3,,WaraiC,float,2,_1.0_0.7_0.5,,,
1,Eyebrow_L,WaraiD,36,4,,WaraiD,float,2,_1.0_0.7_0.5,,,
1,Eyebrow_L,IkariA,70,5,,IkariA,float,2,_0.9_0.5_0.5,,,
1,Eyebrow_L,KanasiA,100,6,,KanasiA,float,2,_0.5_0.6_0.9,,,
1,Eyebrow_L,DoyaA,130,7,,DoyaA,float,2,_0.5_0.8_0.5,,,
1,Eyebrow_L,DereA,160,8,,DereA,float,2,_0.9_0.5_0.2,,,
1,Eyebrow_L,OdorokiA,190,9,,OdorokiA,float,2,_0.9_0.8_0.5,,,
1,Eyebrow_L,OdorokiB,192,10,,OdorokiB,float,2,_0.9_0.8_0.5,,,
1,Eyebrow_L,JitoA,220,11,,JitoA,float,2,_0.5_0.5_0.9,,,
1,Eyebrow_L,KomariA,250,12,,KomariA,float,2,_0.2_0.5_0.9,,,
1,Eyebrow_L,KusyoA,280,13,,KusyoA,float,2,_0.3_0.8_0.3,,,
1,Eyebrow_L,UreiA,310,14,,UreiA,float,2,_0.2_0.8_0.9,,,
1,Eyebrow_L,RunA,380,15,,RunA,float,2,_0.6_0.7_0.6,,,
1,Eyebrow_L,RunB,382,16,,RunB,float,2,_0.6_0.7_0.6,,,
1,Eyebrow_L,SeriousA,450,17,,SeriousA,float,2,_0.7_0.6_0.6,,,
1,Eyebrow_L,SeriousB,452,18,,SeriousB,float,2,_0.7_0.6_0.6,,,
1,Eyebrow_L,ShiwaA,454,19,,ShiwaA,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,ShiwaB,456,20,,ShiwaB,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex01,500,21,,Ex01,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex02,502,22,,Ex02,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex03,504,23,,Ex03,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex04,506,24,,Ex04,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex05,508,25,,Ex05,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex06,510,26,,Ex06,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex07,512,27,,Ex07,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex08,514,28,,Ex08,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex09,516,29,,Ex09,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex10,518,30,,Ex10,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex11,520,31,,Ex11,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex12,522,32,,Ex12,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex13,524,33,,Ex13,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex14,526,34,,Ex14,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Ex15,528,35,,Ex15,float,2,_0.6_0.6_0.7,,,
1,Eyebrow_L,Offset_Up,1000,36,Br_Offset_U,Offset_Up,float,2,_0.9_0.3_0.3,,,
1,Eyebrow_L,Offset_Down,1000,37,Br_Offset_D,Offset_Down,float,2,_0.9_0.3_0.3,,,
1,Eyebrow_L,Offset_Left,1000,38,Br_Offset_L,Offset_Left,float,2,_0.9_0.3_0.3,,,
1,Eyebrow_L,Offset_Right,1000,39,Br_Offset_R,Offset_Right,float,2,_0.9_0.3_0.3,,,
1,Eyebrow_R,Base,0,0,,,float,2,,,,
1,Eyebrow_R,WaraiA,30,1,,WaraiA,float,2,_1.0_0.7_0.5,,,
1,Eyebrow_R,WaraiB,32,2,,WaraiB,float,2,_1.0_0.7_0.5,,,
1,Eyebrow_R,WaraiC,34,3,,WaraiC,float,2,_1.0_0.7_0.5,,,
1,Eyebrow_R,WaraiD,36,4,,WaraiD,float,2,_1.0_0.7_0.5,,,
1,Eyebrow_R,IkariA,70,5,,IkariA,float,2,_0.9_0.5_0.5,,,
1,Eyebrow_R,KanasiA,100,6,,KanasiA,float,2,_0.5_0.6_0.9,,,
1,Eyebrow_R,DoyaA,130,7,,DoyaA,float,2,_0.5_0.8_0.5,,,
1,Eyebrow_R,DereA,160,8,,DereA,float,2,_0.9_0.5_0.2,,,
1,Eyebrow_R,OdorokiA,190,9,,OdorokiA,float,2,_0.9_0.8_0.5,,,
1,Eyebrow_R,OdorokiB,192,10,,OdorokiB,float,2,_0.9_0.8_0.5,,,
1,Eyebrow_R,JitoA,220,11,,JitoA,float,2,_0.5_0.5_0.9,,,
1,Eyebrow_R,KomariA,250,12,,KomariA,float,2,_0.2_0.5_0.9,,,
1,Eyebrow_R,KusyoA,280,13,,KusyoA,float,2,_0.3_0.8_0.3,,,
1,Eyebrow_R,UreiA,310,14,,UreiA,float,2,_0.2_0.8_0.9,,,
1,Eyebrow_R,RunA,380,15,,RunA,float,2,_0.6_0.7_0.6,,,
1,Eyebrow_R,RunB,382,16,,RunB,float,2,_0.6_0.7_0.6,,,
1,Eyebrow_R,SeriousA,450,17,,SeriousA,float,2,_0.7_0.6_0.6,,,
1,Eyebrow_R,SeriousB,452,18,,SeriousB,float,2,_0.7_0.6_0.6,,,
