物理マテリアル名,概要,説明,参考画像パス
bigleaf000,大きい葉, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\bigleaf000.png
bush000,茂み（フィールド）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\bush000.png
bush001,茂み（森）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\bush001.png
cloth000,布,絨毯やテントの屋根,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\cloth000.png
default,デフォルト, ,
grass000,草（フィールド）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\grass000.png
grass002,草（森）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\grass002.png
gravel000,砂利（フィールド）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\gravel000.png
gravel001,砂利（川）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\gravel001.png
ivy000,つた, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\ivy000.png
leaf000,落ち葉, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\leaf000.png
metal000,金属, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\metal000.png
moss000,苔, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\moss000.png
mud000,乾燥した土・泥（フィールド）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\mud000.png
mud001,湿った土・泥（フィールド）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\mud001.png
rock000,岩（川）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\rock000.png
rubble000,瓦礫・大きい砂利, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\rubble000.png
stone000,石, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\stone000.png
straw000,わら,わらぶき屋根,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\straw000.png
water000,水（川）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\water000.png
wood000,木材, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\wood000.png
wood001,森（地面）, ,z:\mtk\tools\maya\2022\modules\mtk\icons\mtk_collisionSettingTool\wood001.png
